x amp: 6.156    | y amp: 164.039  | z amp: 150.738  
x amp: 16.910   | y amp: 162.273  | z amp: 137.825  
x amp: 20.353   | y amp: 162.790  | z amp: 143.048  
x amp: 20.774   | y amp: 163.101  | z amp: 148.884  
x amp: 19.713   | y amp: 163.103  | z amp: 147.916  
x amp: 23.239   | y amp: 162.774  | z amp: 150.020  
x amp: 38.294   | y amp: 161.928  | z amp: 136.605  
x amp: 37.278   | y amp: 161.006  | z amp: 117.187  
x amp: 18.729   | y amp: 163.182  | z amp: 143.193  
x amp: 19.659   | y amp: 163.813  | z amp: 144.879  
x amp: 22.476   | y amp: 163.414  | z amp: 146.687  
x amp: 18.362   | y amp: 162.432  | z amp: 145.054  
x amp: 18.724   | y amp: 162.943  | z amp: 143.874  
x amp: 23.905   | y amp: 163.285  | z amp: 146.575  
x amp: 44.744   | y amp: 162.907  | z amp: 154.320  
x amp: 16.663   | y amp: 162.775  | z amp: 137.255  
x amp: 24.842   | y amp: 162.973  | z amp: 149.790  
x amp: 22.724   | y amp: 162.482  | z amp: 143.168  
x amp: 22.327   | y amp: 162.793  | z amp: 142.937  
x amp: 21.443   | y amp: 162.177  | z amp: 144.883  
x amp: 15.883   | y amp: 161.944  | z amp: 147.370  
x amp: 34.587   | y amp: 163.206  | z amp: 142.686  
x amp: 25.053   | y amp: 162.499  | z amp: 149.492  
x amp: 19.908   | y amp: 163.991  | z amp: 147.000  
x amp: 17.159   | y amp: 162.543  | z amp: 148.256  
x amp: 22.377   | y amp: 163.015  | z amp: 145.094  
x amp: 18.252   | y amp: 162.478  | z amp: 141.028  
x amp: 16.662   | y amp: 162.531  | z amp: 145.136  
x amp: 28.213   | y amp: 160.826  | z amp: 82.255   
x amp: 19.585   | y amp: 161.490  | z amp: 145.434  
x amp: 18.145   | y amp: 162.056  | z amp: 143.746  
x amp: 21.102   | y amp: 161.432  | z amp: 145.546  
x amp: 15.042   | y amp: 162.223  | z amp: 142.875  
x amp: 25.541   | y amp: 164.511  | z amp: 148.898  
x amp: 32.971   | y amp: 163.292  | z amp: 146.993  
x amp: 25.518   | y amp: 160.264  | z amp: 142.465  
x amp: 22.026   | y amp: 163.362  | z amp: 148.694  
x amp: 18.261   | y amp: 163.467  | z amp: 145.399  
x amp: 18.942   | y amp: 162.973  | z amp: 137.601  
x amp: 22.775   | y amp: 162.580  | z amp: 148.453  
x amp: 13.701   | y amp: 162.550  | z amp: 143.601  
x amp: 31.978   | y amp: 163.192  | z amp: 115.680  
x amp: 24.755   | y amp: 163.357  | z amp: 146.472  
x amp: 19.926   | y amp: 162.060  | z amp: 141.719  
x amp: 18.062   | y amp: 161.965  | z amp: 147.705  
x amp: 20.396   | y amp: 163.356  | z amp: 145.164  
x amp: 22.901   | y amp: 162.844  | z amp: 146.008  
x amp: 12.622   | y amp: 164.244  | z amp: 147.090  
x amp: 9.076    | y amp: 160.359  | z amp: 154.944  
x amp: 17.185   | y amp: 163.177  | z amp: 145.817  
x amp: 19.688   | y amp: 163.590  | z amp: 147.356  
x amp: 17.739   | y amp: 162.475  | z amp: 142.948  
x amp: 22.953   | y amp: 163.317  | z amp: 148.429  
x amp: 19.590   | y amp: 162.070  | z amp: 139.057  
x amp: 20.946   | y amp: 156.932  | z amp: 133.071  
x amp: 20.753   | y amp: 163.381  | z amp: 144.043  
x amp: 25.966   | y amp: 163.065  | z amp: 139.054  
x amp: 18.024   | y amp: 162.309  | z amp: 143.817  
x amp: 21.026   | y amp: 162.786  | z amp: 142.492  
x amp: 18.890   | y amp: 163.098  | z amp: 141.263  
x amp: 31.374   | y amp: 162.314  | z amp: 144.685  
x amp: 38.851   | y amp: 164.644  | z amp: 146.979  
x amp: 18.835   | y amp: 162.415  | z amp: 146.113  
x amp: 18.421   | y amp: 162.064  | z amp: 146.691  
x amp: 20.835   | y amp: 163.090  | z amp: 144.247  
x amp: 19.081   | y amp: 163.553  | z amp: 131.331  
x amp: 23.491   | y amp: 163.615  | z amp: 150.748  
x amp: 30.804   | y amp: 162.958  | z amp: 140.975  
x amp: 12.384   | y amp: 158.936  | z amp: 156.764  
x amp: 15.810   | y amp: 163.158  | z amp: 143.123  
x amp: 17.389   | y amp: 162.875  | z amp: 144.634  
x amp: 20.618   | y amp: 162.105  | z amp: 134.297  
x amp: 24.690   | y amp: 160.992  | z amp: 143.177  
x amp: 15.057   | y amp: 162.073  | z amp: 144.190  
x amp: 26.638   | y amp: 163.558  | z amp: 144.982  
x amp: 41.385   | y amp: 162.984  | z amp: 143.033  
x amp: 19.340   | y amp: 161.973  | z amp: 148.984  
x amp: 24.302   | y amp: 163.342  | z amp: 148.059  
x amp: 17.892   | y amp: 163.032  | z amp: 142.254  
x amp: 21.133   | y amp: 162.161  | z amp: 144.290  
x amp: 16.994   | y amp: 163.534  | z amp: 133.091  
x amp: 28.977   | y amp: 162.452  | z amp: 148.943  
x amp: 47.062   | y amp: 164.058  | z amp: 155.537  
x amp: 23.628   | y amp: 163.266  | z amp: 144.820  
x amp: 19.380   | y amp: 162.923  | z amp: 147.705  
x amp: 19.353   | y amp: 163.888  | z amp: 145.407  
x amp: 21.306   | y amp: 163.724  | z amp: 140.077  
x amp: 19.606   | y amp: 161.856  | z amp: 142.768  
x amp: 27.648   | y amp: 164.140  | z amp: 144.481  
x amp: 15.751   | y amp: 161.929  | z amp: 123.179  
x amp: 19.695   | y amp: 162.557  | z amp: 145.672  
x amp: 18.141   | y amp: 163.401  | z amp: 135.154  
x amp: 16.093   | y amp: 162.145  | z amp: 141.163  
x amp: 23.671   | y amp: 163.338  | z amp: 142.554  
x amp: 22.171   | y amp: 163.640  | z amp: 142.855  
x amp: 26.974   | y amp: 163.617  | z amp: 144.355  
x amp: 22.580   | y amp: 159.505  | z amp: 121.346  
x amp: 21.221   | y amp: 163.061  | z amp: 149.660  
x amp: 25.551   | y amp: 163.720  | z amp: 149.371  
x amp: 16.567   | y amp: 161.665  | z amp: 146.496  
x amp: 17.258   | y amp: 161.762  | z amp: 143.705  
x amp: 14.160   | y amp: 161.866  | z amp: 131.364  
x amp: 43.269   | y amp: 163.163  | z amp: 148.531  
x amp: 38.235   | y amp: 160.843  | z amp: 86.144   
x amp: 27.491   | y amp: 161.961  | z amp: 149.523  
x amp: 24.317   | y amp: 162.997  | z amp: 145.151  
x amp: 20.477   | y amp: 163.153  | z amp: 148.411  
x amp: 19.670   | y amp: 162.574  | z amp: 143.895  
x amp: 20.971   | y amp: 162.510  | z amp: 142.113  
x amp: 21.053   | y amp: 161.947  | z amp: 143.158  
x amp: 24.155   | y amp: 164.399  | z amp: 154.580  
x amp: 19.119   | y amp: 162.958  | z amp: 143.438  
x amp: 21.410   | y amp: 163.109  | z amp: 148.338  
x amp: 17.261   | y amp: 163.844  | z amp: 146.026  
x amp: 19.045   | y amp: 162.648  | z amp: 146.394  
x amp: 23.007   | y amp: 163.895  | z amp: 150.606  
x amp: 16.755   | y amp: 163.262  | z amp: 139.278  
x amp: 10.715   | y amp: 161.122  | z amp: 155.002  
x amp: 24.052   | y amp: 163.695  | z amp: 144.519  
x amp: 23.360   | y amp: 162.635  | z amp: 143.478  
