 X: 0.87459254 | Y: 1.09239864 | Z: 0.51911628 | accel X: 0.00424013 | accel Y: -0.00147370 | accel Z: -0.02768153
 X: 0.87506521 | Y: 1.09093654 | Z: 0.51840585 | accel X: 0.00332045 | accel Y: 0.00079975 | accel Z: -0.02506506
 X: 0.87099051 | Y: 1.09438324 | Z: 0.51689345 | accel X: 0.00302641 | accel Y: -0.00015451 | accel Z: -0.02305084
 X: 0.87832034 | Y: 1.09030330 | Z: 0.51699597 | accel X: 0.00302641 | accel Y: -0.00015451 | accel Z: -0.02305084
 X: 0.88097018 | Y: 1.08877897 | Z: 0.51363510 | accel X: 0.00853990 | accel Y: 0.00373340 | accel Z: -0.02192914
 X: 0.87952113 | Y: 1.08615577 | Z: 0.51760614 | accel X: 0.00203258 | accel Y: 0.00007158 | accel Z: -0.02536702
 X: 0.87492472 | Y: 1.09263897 | Z: 0.51821256 | accel X: 0.00441865 | accel Y: 0.00026153 | accel Z: -0.02378881
 X: 0.87145424 | Y: 1.09490657 | Z: 0.51695365 | accel X: 0.00027085 | accel Y: -0.00196556 | accel Z: -0.01909655
 X: 0.86467785 | Y: 1.09811342 | Z: 0.51985425 | accel X: 0.00061240 | accel Y: -0.00126096 | accel Z: -0.02475929
 X: 0.87510890 | Y: 1.09064281 | Z: 0.51319838 | accel X: 0.00481717 | accel Y: 0.00248802 | accel Z: -0.02186847
 X: 0.87307107 | Y: 1.09183311 | Z: 0.51394576 | accel X: 0.00481717 | accel Y: 0.00248802 | accel Z: -0.02186847
 X: 0.86911696 | Y: 1.09483516 | Z: 0.52111030 | accel X: 0.00442757 | accel Y: 0.00200205 | accel Z: -0.03118366
 X: 0.87871021 | Y: 1.08437598 | Z: 0.52155131 | accel X: 0.00622139 | accel Y: 0.00392129 | accel Z: -0.02821672
 X: 0.86889225 | Y: 1.09652078 | Z: 0.51726645 | accel X: 0.00093115 | accel Y: -0.00173373 | accel Z: -0.02309960
 X: 0.86942095 | Y: 1.09221292 | Z: 0.52060598 | accel X: 0.00738338 | accel Y: 0.00148316 | accel Z: -0.02353162
 X: 0.87217128 | Y: 1.09419096 | Z: 0.51382798 | accel X: 0.00268677 | accel Y: -0.00114080 | accel Z: -0.02537948
 X: 0.88498145 | Y: 1.08656549 | Z: 0.51712191 | accel X: 0.00268677 | accel Y: -0.00114080 | accel Z: -0.02537948
 X: 0.88257778 | Y: 1.08573210 | Z: 0.51497072 | accel X: 0.00423094 | accel Y: 0.00259866 | accel Z: -0.02484542
 X: 0.88015997 | Y: 1.08646286 | Z: 0.51746660 | accel X: 0.00539954 | accel Y: 0.00296020 | accel Z: -0.03105533
 X: 0.87868780 | Y: 1.08557510 | Z: 0.51767993 | accel X: 0.00763895 | accel Y: 0.00122209 | accel Z: -0.02623999
 X: 0.88262284 | Y: 1.08560228 | Z: 0.51601559 | accel X: 0.00111061 | accel Y: -0.00150590 | accel Z: -0.02761626
 X: 0.88196647 | Y: 1.08464849 | Z: 0.51670307 | accel X: 0.00258140 | accel Y: -0.00007313 | accel Z: -0.02366102
 X: 0.88090152 | Y: 1.08699989 | Z: 0.51791006 | accel X: 0.00490788 | accel Y: 0.00067084 | accel Z: -0.02445257
 X: 0.87578017 | Y: 1.09476066 | Z: 0.51707900 | accel X: 0.00490788 | accel Y: 0.00067084 | accel Z: -0.02445257
 X: 0.88022435 | Y: 1.08657944 | Z: 0.51762611 | accel X: 0.00254836 | accel Y: -0.00069819 | accel Z: -0.02941322
 X: 0.87276769 | Y: 1.09289455 | Z: 0.52152830 | accel X: 0.00457919 | accel Y: 0.00138358 | accel Z: -0.03540242
 X: 0.88324219 | Y: 1.08516514 | Z: 0.51499194 | accel X: 0.00368075 | accel Y: 0.00118838 | accel Z: -0.02672666
 X: 0.87306696 | Y: 1.09262109 | Z: 0.51919633 | accel X: 0.00115393 | accel Y: -0.00086701 | accel Z: -0.02473390
 X: 0.87082827 | Y: 1.09245872 | Z: 0.52071351 | accel X: 0.00423690 | accel Y: -0.00103793 | accel Z: -0.01746440
 X: 0.87685752 | Y: 1.08969069 | Z: 0.51286006 | accel X: 0.00417994 | accel Y: 0.00071456 | accel Z: -0.02208388
