x amp: 12.784   | y amp: 75.729   | z amp: 158.941  
x amp: 14.318   | y amp: 67.088   | z amp: 159.415  
x amp: 21.958   | y amp: 75.525   | z amp: 153.739  
x amp: 13.088   | y amp: 70.004   | z amp: 158.976  
x amp: 13.212   | y amp: 71.345   | z amp: 159.442  
x amp: 1.870    | y amp: 62.347   | z amp: 159.785  
x amp: 16.771   | y amp: 73.449   | z amp: 157.646  
x amp: 14.149   | y amp: 72.526   | z amp: 158.372  
x amp: 11.894   | y amp: 70.096   | z amp: 159.831  
x amp: 9.005    | y amp: 71.216   | z amp: 159.553  
x amp: 17.858   | y amp: 68.487   | z amp: 159.723  
x amp: 18.382   | y amp: 68.945   | z amp: 159.795  
x amp: 14.926   | y amp: 58.373   | z amp: 158.552  
x amp: 16.140   | y amp: 71.257   | z amp: 161.162  
x amp: 10.572   | y amp: 67.169   | z amp: 159.429  
x amp: 27.502   | y amp: 97.378   | z amp: 144.710  
x amp: 15.812   | y amp: 65.056   | z amp: 160.048  
x amp: 8.674    | y amp: 69.256   | z amp: 158.494  
x amp: 12.262   | y amp: 58.477   | z amp: 157.589  
x amp: 16.359   | y amp: 73.635   | z amp: 158.760  
x amp: 14.391   | y amp: 78.233   | z amp: 158.467  
x amp: 21.608   | y amp: 70.794   | z amp: 159.250  
x amp: 26.803   | y amp: 71.352   | z amp: 158.835  
x amp: 15.357   | y amp: 56.745   | z amp: 147.261  
x amp: 9.185    | y amp: 71.709   | z amp: 158.465  
x amp: 15.100   | y amp: 63.346   | z amp: 157.650  
x amp: 14.110   | y amp: 74.361   | z amp: 159.500  
x amp: 10.784   | y amp: 67.282   | z amp: 158.549  
x amp: 14.207   | y amp: 68.886   | z amp: 157.820  
x amp: 15.820   | y amp: 81.257   | z amp: 159.389  
x amp: 13.614   | y amp: 61.722   | z amp: 159.563  
x amp: 23.287   | y amp: 66.808   | z amp: 156.919  
x amp: 12.950   | y amp: 71.641   | z amp: 160.312  
x amp: 11.430   | y amp: 68.005   | z amp: 162.251  
x amp: 51.296   | y amp: 89.716   | z amp: 154.369  
x amp: 11.828   | y amp: 63.627   | z amp: 160.408  
x amp: 11.848   | y amp: 74.526   | z amp: 159.375  
x amp: 30.463   | y amp: 81.782   | z amp: 158.122  
x amp: 14.468   | y amp: 72.333   | z amp: 161.497  
x amp: 14.470   | y amp: 68.493   | z amp: 157.518  
x amp: 12.542   | y amp: 84.031   | z amp: 159.602  
x amp: 13.131   | y amp: 71.063   | z amp: 157.621  
x amp: 14.877   | y amp: 70.283   | z amp: 158.725  
x amp: 12.542   | y amp: 76.499   | z amp: 160.892  
x amp: 30.612   | y amp: 64.473   | z amp: 156.535  
x amp: 30.723   | y amp: 76.466   | z amp: 157.512  
x amp: 10.893   | y amp: 70.404   | z amp: 159.890  
x amp: 17.855   | y amp: 74.139   | z amp: 159.404  
x amp: 18.010   | y amp: 71.382   | z amp: 159.385  
x amp: 15.395   | y amp: 70.270   | z amp: 156.893  

x amp: 37.187   | y amp: 58.605   | z amp: 158.719  
x amp: 39.530   | y amp: 86.513   | z amp: 157.966  
x amp: 15.092   | y amp: 69.523   | z amp: 158.005  
x amp: 12.189   | y amp: 61.038   | z amp: 161.733  
x amp: 16.739   | y amp: 76.898   | z amp: 158.873  
x amp: 12.531   | y amp: 70.019   | z amp: 157.565  
x amp: 14.763   | y amp: 72.546   | z amp: 159.890  
x amp: 15.736   | y amp: 69.526   | z amp: 154.525  
x amp: 11.934   | y amp: 57.396   | z amp: 158.412  
x amp: 23.722   | y amp: 71.317   | z amp: 157.020  
x amp: 24.929   | y amp: 74.920   | z amp: 147.722  
x amp: 13.444   | y amp: 72.460   | z amp: 157.904  
x amp: 13.598   | y amp: 69.207   | z amp: 159.889  
x amp: 28.120   | y amp: 77.159   | z amp: 157.731  
x amp: 13.957   | y amp: 72.537   | z amp: 158.244  
x amp: 11.067   | y amp: 67.336   | z amp: 158.560  
x amp: 27.172   | y amp: 92.411   | z amp: 160.254  
x amp: 8.391    | y amp: 67.627   | z amp: 158.828  
x amp: 12.424   | y amp: 68.815   | z amp: 158.582  
x amp: 11.870   | y amp: 66.758   | z amp: 154.779  
x amp: 17.527   | y amp: 61.399   | z amp: 158.947  
x amp: 40.277   | y amp: 82.344   | z amp: 157.441  
x amp: 15.283   | y amp: 69.652   | z amp: 157.697  
x amp: 11.496   | y amp: 66.743   | z amp: 158.104  
x amp: 5.409    | y amp: 70.942   | z amp: 160.489  
x amp: 16.914   | y amp: 62.422   | z amp: 140.338  
x amp: 12.986   | y amp: 69.608   | z amp: 159.204  
x amp: 16.932   | y amp: 77.305   | z amp: 164.327  
x amp: 22.632   | y amp: 74.525   | z amp: 158.081  
x amp: 23.663   | y amp: 70.944   | z amp: 148.955  
x amp: 11.102   | y amp: 72.898   | z amp: 158.767  
x amp: 15.723   | y amp: 71.310   | z amp: 155.661  
x amp: 18.962   | y amp: 71.282   | z amp: 161.844  
x amp: 12.782   | y amp: 81.385   | z amp: 158.978  
x amp: 13.742   | y amp: 69.832   | z amp: 158.602  
x amp: 9.818    | y amp: 67.584   | z amp: 160.235  
x amp: 11.007   | y amp: 70.341   | z amp: 158.673  
x amp: 40.440   | y amp: 68.361   | z amp: 155.441  
x amp: 34.812   | y amp: 67.320   | z amp: 156.632  
x amp: 10.451   | y amp: 75.661   | z amp: 157.002  
x amp: 15.286   | y amp: 71.301   | z amp: 158.536  
x amp: 13.068   | y amp: 68.963   | z amp: 156.807  
x amp: 35.931   | y amp: 68.595   | z amp: 160.409  
x amp: 14.901   | y amp: 74.472   | z amp: 156.430  
x amp: 15.370   | y amp: 69.746   | z amp: 158.744  
x amp: 13.955   | y amp: 65.742   | z amp: 157.904  
x amp: 15.512   | y amp: 65.633   | z amp: 161.090  
x amp: 19.466   | y amp: 73.622   | z amp: 163.650  
x amp: 13.007   | y amp: 71.667   | z amp: 158.922  
x amp: 13.403   | y amp: 66.955   | z amp: 161.242  
x amp: 13.397   | y amp: 72.199   | z amp: 158.047  
x amp: 12.380   | y amp: 69.833   | z amp: 151.985  
x amp: 13.379   | y amp: 70.754   | z amp: 158.910  
x amp: 21.341   | y amp: 71.589   | z amp: 158.453  
x amp: 12.785   | y amp: 68.991   | z amp: 158.403  
x amp: 12.996   | y amp: 67.745   | z amp: 159.817  
x amp: 11.436   | y amp: 72.996   | z amp: 160.342  
x amp: 15.370   | y amp: 74.136   | z amp: 158.986  
x amp: 16.418   | y amp: 73.124   | z amp: 159.180  
x amp: 27.531   | y amp: 74.963   | z amp: 160.255  
x amp: 11.058   | y amp: 70.398   | z amp: 159.374  
x amp: 10.839   | y amp: 71.547   | z amp: 155.655  
x amp: 12.966   | y amp: 65.816   | z amp: 158.841  
x amp: 11.592   | y amp: 70.819   | z amp: 157.299  
x amp: 18.563   | y amp: 80.067   | z amp: 135.798  
x amp: 11.544   | y amp: 66.310   | z amp: 157.750  
x amp: 12.488   | y amp: 67.289   | z amp: 157.851  
x amp: 13.355   | y amp: 71.459   | z amp: 158.754  
x amp: 12.988   | y amp: 70.942   | z amp: 160.478  
x amp: 14.790   | y amp: 69.794   | z amp: 158.213  
x amp: 38.253   | y amp: 69.932   | z amp: 157.078  
x amp: 12.663   | y amp: 68.157   | z amp: 157.993  
x amp: 13.191   | y amp: 61.567   | z amp: 158.694  
x amp: 7.970    | y amp: 70.000   | z amp: 157.775  
x amp: 20.596   | y amp: 53.160   | z amp: 158.534  
x amp: 30.567   | y amp: 84.227   | z amp: 120.092  
x amp: 18.138   | y amp: 73.513   | z amp: 157.693  
x amp: 32.063   | y amp: 62.710   | z amp: 160.931  
x amp: 13.495   | y amp: 70.832   | z amp: 157.823  
x amp: 10.903   | y amp: 60.910   | z amp: 159.245  
x amp: 7.359    | y amp: 69.237   | z amp: 158.277  
x amp: 11.578   | y amp: 71.920   | z amp: 159.900  
x amp: 14.895   | y amp: 76.625   | z amp: 128.972  
x amp: 16.142   | y amp: 71.563   | z amp: 160.386  
x amp: 15.424   | y amp: 74.937   | z amp: 157.528  
x amp: 12.329   | y amp: 71.913   | z amp: 158.652  
x amp: 13.090   | y amp: 60.924   | z amp: 159.805  
x amp: 11.726   | y amp: 70.695   | z amp: 161.226  
x amp: 12.148   | y amp: 70.492   | z amp: 156.655  
x amp: 13.687   | y amp: 73.564   | z amp: 158.723  
x amp: 21.502   | y amp: 77.927   | z amp: 157.613  
x amp: 18.365   | y amp: 49.850   | z amp: 141.975  
x amp: 14.425   | y amp: 71.175   | z amp: 158.424  
x amp: 13.730   | y amp: 71.542   | z amp: 158.445  
x amp: 21.471   | y amp: 79.724   | z amp: 148.910  
x amp: 13.409   | y amp: 68.155   | z amp: 157.897  
x amp: 10.898   | y amp: 71.743   | z amp: 158.881  
x amp: 13.775   | y amp: 70.179   | z amp: 159.262  
x amp: 14.195   | y amp: 69.195   | z amp: 155.899  
x amp: 15.829   | y amp: 63.560   | z amp: 157.561  
x amp: 16.713   | y amp: 75.273   | z amp: 159.095  
x amp: 34.111   | y amp: 85.888   | z amp: 126.514  
x amp: 12.863   | y amp: 68.758   | z amp: 160.334  
x amp: 12.423   | y amp: 69.134   | z amp: 158.637  
x amp: 13.043   | y amp: 69.654   | z amp: 154.934  
x amp: 14.121   | y amp: 73.708   | z amp: 158.495  
x amp: 14.571   | y amp: 67.131   | z amp: 157.111  
x amp: 7.671    | y amp: 75.731   | z amp: 159.660  
x amp: 18.770   | y amp: 39.081   | z amp: 148.360  
x amp: 11.927   | y amp: 66.228   | z amp: 160.245  
x amp: 16.076   | y amp: 73.394   | z amp: 160.998  
x amp: 11.192   | y amp: 73.466   | z amp: 158.505  
x amp: 24.542   | y amp: 71.150   | z amp: 158.238  
x amp: 13.900   | y amp: 75.097   | z amp: 158.222  
x amp: 12.952   | y amp: 68.834   | z amp: 159.919  
x amp: 6.556    | y amp: 65.551   | z amp: 158.107  
x amp: 12.295   | y amp: 66.697   | z amp: 157.815  
x amp: 12.905   | y amp: 68.290   | z amp: 159.965  
x amp: 27.974   | y amp: 58.791   | z amp: 125.630  
x amp: 14.072   | y amp: 71.309   | z amp: 157.848  
x amp: 15.990   | y amp: 64.308   | z amp: 158.438  
x amp: 16.129   | y amp: 51.504   | z amp: 162.026  
x amp: 28.983   | y amp: 95.414   | z amp: 147.177  
x amp: 13.563   | y amp: 71.462   | z amp: 157.766  
x amp: 16.876   | y amp: 72.104   | z amp: 160.011  
x amp: 12.928   | y amp: 80.024   | z amp: 158.742  
x amp: 14.378   | y amp: 73.064   | z amp: 158.627  
x amp: 11.109   | y amp: 69.875   | z amp: 159.678  
x amp: 14.726   | y amp: 73.476   | z amp: 159.831  
x amp: 11.725   | y amp: 71.855   | z amp: 157.760  
x amp: 25.671   | y amp: 60.216   | z amp: 141.310  
x amp: 11.845   | y amp: 75.208   | z amp: 161.024  
x amp: 40.013   | y amp: 79.668   | z amp: 157.806  
x amp: 10.583   | y amp: 47.455   | z amp: 146.880  
x amp: 13.046   | y amp: 64.201   | z amp: 158.061  
x amp: 17.166   | y amp: 71.830   | z amp: 158.181  
x amp: 14.235   | y amp: 71.195   | z amp: 158.481  
x amp: 15.223   | y amp: 79.453   | z amp: 159.100  
x amp: 20.744   | y amp: 67.890   | z amp: 158.447  
x amp: 15.859   | y amp: 41.221   | z amp: 158.109  
x amp: 8.626    | y amp: 71.993   | z amp: 157.677  
x amp: 14.737   | y amp: 68.648   | z amp: 160.714  
x amp: 13.484   | y amp: 70.908   | z amp: 158.597  
x amp: 13.664   | y amp: 72.607   | z amp: 156.987  
x amp: 10.323   | y amp: 67.414   | z amp: 157.720  
x amp: 14.955   | y amp: 71.228   | z amp: 159.076  
x amp: 12.493   | y amp: 70.187   | z amp: 158.811  
x amp: 14.524   | y amp: 67.256   | z amp: 159.636  
x amp: 10.325   | y amp: 64.464   | z amp: 156.793  
x amp: 4.451    | y amp: 69.186   | z amp: 158.284  
x amp: 15.234   | y amp: 72.943   | z amp: 157.872  
x amp: 12.469   | y amp: 40.796   | z amp: 153.941  
x amp: 16.891   | y amp: 67.936   | z amp: 160.609  
x amp: 14.274   | y amp: 64.701   | z amp: 159.098  
x amp: 13.779   | y amp: 71.990   | z amp: 158.242  
x amp: 14.483   | y amp: 70.260   | z amp: 160.678  
x amp: 13.950   | y amp: 53.057   | z amp: 135.642  
x amp: 15.913   | y amp: 70.642   | z amp: 156.976  
x amp: 15.935   | y amp: 70.777   | z amp: 159.511  
x amp: 9.349    | y amp: 53.062   | z amp: 159.225  
x amp: 29.106   | y amp: 84.143   | z amp: 162.388  
x amp: 18.028   | y amp: 59.130   | z amp: 159.425  
x amp: 34.786   | y amp: 82.067   | z amp: 159.802  
x amp: 38.546   | y amp: 84.983   | z amp: 153.680  
x amp: 12.020   | y amp: 68.327   | z amp: 160.330  
x amp: 12.898   | y amp: 70.667   | z amp: 158.486  
x amp: 10.865   | y amp: 69.534   | z amp: 156.918  
x amp: 12.675   | y amp: 69.673   | z amp: 159.437  
x amp: 14.934   | y amp: 77.028   | z amp: 159.263  
x amp: 10.451   | y amp: 73.811   | z amp: 159.007  
x amp: 14.381   | y amp: 67.934   | z amp: 158.949  
x amp: 11.557   | y amp: 68.819   | z amp: 158.873  
x amp: 21.433   | y amp: 69.912   | z amp: 158.842  
x amp: 34.027   | y amp: 67.509   | z amp: 153.618  
x amp: 16.046   | y amp: 71.272   | z amp: 161.282  
x amp: 14.321   | y amp: 71.791   | z amp: 159.013  
x amp: 12.275   | y amp: 60.840   | z amp: 154.909  
x amp: 54.736   | y amp: 72.039   | z amp: 158.531  
x amp: 15.957   | y amp: 70.034   | z amp: 158.163  
x amp: 12.582   | y amp: 69.225   | z amp: 159.003  
x amp: 20.706   | y amp: 65.123   | z amp: 157.110  
x amp: 9.151    | y amp: 67.846   | z amp: 157.842  
x amp: 12.284   | y amp: 69.839   | z amp: 156.541  
x amp: 15.056   | y amp: 69.933   | z amp: 159.868  
x amp: 13.799   | y amp: 73.703   | z amp: 157.921  
x amp: 15.555   | y amp: 69.616   | z amp: 156.962  
x amp: 16.024   | y amp: 73.414   | z amp: 156.136  
x amp: 15.056   | y amp: 57.079   | z amp: 157.928  
x amp: 2.410    | y amp: 67.955   | z amp: 158.980  
x amp: 35.348   | y amp: 64.393   | z amp: 158.719  
x amp: 12.559   | y amp: 71.469   | z amp: 158.817  
x amp: 14.050   | y amp: 72.238   | z amp: 160.794  
x amp: 14.037   | y amp: 71.130   | z amp: 162.588  
x amp: 13.755   | y amp: 75.474   | z amp: 157.242  
x amp: 13.430   | y amp: 69.365   | z amp: 157.564  
x amp: 13.718   | y amp: 66.542   | z amp: 159.281  
x amp: 11.714   | y amp: 69.721   | z amp: 156.167  
x amp: 12.639   | y amp: 68.261   | z amp: 158.738  
x amp: 16.313   | y amp: 74.243   | z amp: 161.739  
x amp: 23.951   | y amp: 91.475   | z amp: 153.609  
x amp: 18.682   | y amp: 67.674   | z amp: 156.621  
x amp: 11.582   | y amp: 65.134   | z amp: 158.607  
x amp: 11.599   | y amp: 71.641   | z amp: 156.655  
x amp: 8.826    | y amp: 64.010   | z amp: 146.485  
x amp: 13.756   | y amp: 68.790   | z amp: 157.737  
x amp: 29.970   | y amp: 46.646   | z amp: 161.470  
x amp: 15.383   | y amp: 71.885   | z amp: 159.394  
x amp: 10.493   | y amp: 71.719   | z amp: 156.648  
x amp: 15.781   | y amp: 74.150   | z amp: 151.512  
x amp: 14.158   | y amp: 72.379   | z amp: 159.811  
x amp: 16.128   | y amp: 77.465   | z amp: 158.090  
x amp: 14.509   | y amp: 66.372   | z amp: 158.389  
