x amp: 119.246  | y amp: 76.262   | z amp: 19.209   
x amp: 121.931  | y amp: 67.778   | z amp: 27.954   
x amp: 124.946  | y amp: 70.688   | z amp: 18.072   
x amp: 134.508  | y amp: 80.436   | z amp: 73.845   
x amp: 114.715  | y amp: 53.059   | z amp: 9.863    
x amp: 119.508  | y amp: 68.126   | z amp: 17.980   
x amp: 116.552  | y amp: 70.708   | z amp: 24.477   
x amp: 124.076  | y amp: 71.605   | z amp: 19.394   
x amp: 120.736  | y amp: 72.481   | z amp: 33.843   
x amp: 109.414  | y amp: 89.916   | z amp: 24.181   
x amp: 125.038  | y amp: 74.829   | z amp: 55.117   
x amp: 118.346  | y amp: 67.946   | z amp: 13.920   
x amp: 120.011  | y amp: 68.778   | z amp: 17.206   
x amp: 115.270  | y amp: 69.971   | z amp: 29.038   
x amp: 119.191  | y amp: 74.832   | z amp: 24.464   
x amp: 123.159  | y amp: 63.683   | z amp: 13.321   
x amp: 115.549  | y amp: 69.167   | z amp: 13.729   
x amp: 110.211  | y amp: 59.048   | z amp: 23.056   
x amp: 118.304  | y amp: 70.521   | z amp: 4.203    
x amp: 117.177  | y amp: 54.268   | z amp: 15.224   
x amp: 118.807  | y amp: 63.450   | z amp: 12.630   
x amp: 120.084  | y amp: 72.813   | z amp: 22.027   
x amp: 121.038  | y amp: 68.411   | z amp: 21.995   
x amp: 130.242  | y amp: 62.760   | z amp: 25.581   
x amp: 132.913  | y amp: 101.139  | z amp: 68.091   
x amp: 125.648  | y amp: 69.655   | z amp: 13.421   
x amp: 113.963  | y amp: 62.058   | z amp: 11.440   
x amp: 119.047  | y amp: 69.178   | z amp: 27.268   
x amp: 119.374  | y amp: 71.275   | z amp: 19.188   
x amp: 118.400  | y amp: 58.599   | z amp: 22.042   
x amp: 99.700   | y amp: 71.640   | z amp: 10.689   
x amp: 110.107  | y amp: 76.113   | z amp: 42.913   
x amp: 119.150  | y amp: 64.049   | z amp: 11.522   
x amp: 119.343  | y amp: 70.155   | z amp: 15.930   
x amp: 117.895  | y amp: 72.798   | z amp: 13.879   
x amp: 126.787  | y amp: 65.282   | z amp: 22.937   
x amp: 115.555  | y amp: 68.057   | z amp: 23.113   
x amp: 106.272  | y amp: 78.945   | z amp: 25.251   
x amp: 99.397   | y amp: 56.613   | z amp: 55.718   
x amp: 111.565  | y amp: 59.162   | z amp: 18.371   
x amp: 114.104  | y amp: 70.459   | z amp: 19.167   
x amp: 119.048  | y amp: 72.563   | z amp: 16.699   
x amp: 119.070  | y amp: 65.769   | z amp: 15.566   
x amp: 119.933  | y amp: 67.308   | z amp: 24.960   
x amp: 121.320  | y amp: 74.795   | z amp: 16.075   
x amp: 123.916  | y amp: 40.707   | z amp: 46.284   
x amp: 121.762  | y amp: 67.264   | z amp: 25.782   
x amp: 116.647  | y amp: 63.140   | z amp: 11.181   
x amp: 121.751  | y amp: 68.541   | z amp: 26.521   
x amp: 119.951  | y amp: 56.028   | z amp: 16.944   
x amp: 112.028  | y amp: 69.260   | z amp: 13.406   
x amp: 122.176  | y amp: 73.532   | z amp: 17.727   
x amp: 132.676  | y amp: 73.070   | z amp: 47.430   
x amp: 118.197  | y amp: 66.549   | z amp: 12.081   
x amp: 117.565  | y amp: 83.466   | z amp: 25.556   
x amp: 122.243  | y amp: 68.100   | z amp: 11.486   
x amp: 122.161  | y amp: 67.398   | z amp: 12.776   
x amp: 118.883  | y amp: 68.788   | z amp: 22.871   
x amp: 101.545  | y amp: 66.569   | z amp: 16.356   
x amp: 127.672  | y amp: 61.139   | z amp: 50.031   
x amp: 111.165  | y amp: 68.635   | z amp: 18.165   
x amp: 118.103  | y amp: 69.585   | z amp: 26.264   
x amp: 120.060  | y amp: 69.504   | z amp: 19.513   
x amp: 115.377  | y amp: 67.961   | z amp: 33.421   
x amp: 117.812  | y amp: 63.504   | z amp: 8.882    
x amp: 105.712  | y amp: 67.768   | z amp: 26.294   
x amp: 100.427  | y amp: 61.846   | z amp: 31.874   
x amp: 114.216  | y amp: 68.691   | z amp: 16.082   
x amp: 118.115  | y amp: 67.758   | z amp: 27.813   
x amp: 119.618  | y amp: 80.442   | z amp: 19.692   
x amp: 117.486  | y amp: 62.754   | z amp: 18.452   
x amp: 115.106  | y amp: 68.059   | z amp: 22.357   
x amp: 132.595  | y amp: 68.613   | z amp: 15.746   
x amp: 123.500  | y amp: 57.268   | z amp: 42.703   
x amp: 114.472  | y amp: 66.421   | z amp: 25.973   
x amp: 120.354  | y amp: 79.498   | z amp: 27.969   
x amp: 122.063  | y amp: 67.677   | z amp: 32.014   
x amp: 118.531  | y amp: 70.259   | z amp: 33.879   
x amp: 119.876  | y amp: 67.191   | z amp: 22.973   
x amp: 112.166  | y amp: 54.578   | z amp: 4.730    
x amp: 126.016  | y amp: 77.102   | z amp: 62.978   
x amp: 116.283  | y amp: 69.808   | z amp: 22.276   
x amp: 121.650  | y amp: 69.155   | z amp: 8.579    
x amp: 114.503  | y amp: 68.482   | z amp: 30.001   
x amp: 123.527  | y amp: 82.127   | z amp: 27.061   
x amp: 120.029  | y amp: 65.277   | z amp: 17.742   
x amp: 111.909  | y amp: 75.516   | z amp: 19.623   
x amp: 102.339  | y amp: 79.650   | z amp: 39.463   
x amp: 119.118  | y amp: 63.010   | z amp: 18.872   
x amp: 119.713  | y amp: 77.799   | z amp: 26.321   
x amp: 121.625  | y amp: 68.416   | z amp: 12.896   
x amp: 119.175  | y amp: 64.700   | z amp: 24.789   
x amp: 118.560  | y amp: 73.270   | z amp: 10.276   
x amp: 113.158  | y amp: 73.680   | z amp: 42.531   
x amp: 98.887   | y amp: 63.392   | z amp: 36.367   
x amp: 118.879  | y amp: 63.216   | z amp: 17.853   
x amp: 114.744  | y amp: 66.055   | z amp: 8.781    
x amp: 123.173  | y amp: 66.016   | z amp: 31.812   
x amp: 116.095  | y amp: 78.511   | z amp: 34.994   
x amp: 113.579  | y amp: 71.808   | z amp: 13.862   
x amp: 115.482  | y amp: 68.598   | z amp: 21.252   
x amp: 119.777  | y amp: 91.939   | z amp: 23.680   
x amp: 114.922  | y amp: 64.475   | z amp: 10.705   
x amp: 124.030  | y amp: 61.515   | z amp: 14.474   
x amp: 117.618  | y amp: 69.852   | z amp: 21.530   
x amp: 122.880  | y amp: 73.459   | z amp: 21.435   
x amp: 119.527  | y amp: 67.158   | z amp: 27.467   
x amp: 115.624  | y amp: 71.637   | z amp: 22.690   
x amp: 133.372  | y amp: 97.617   | z amp: 63.004   
x amp: 119.961  | y amp: 66.921   | z amp: 23.247   
x amp: 119.927  | y amp: 70.753   | z amp: 17.450   
x amp: 116.857  | y amp: 70.078   | z amp: 11.286   
x amp: 118.156  | y amp: 70.129   | z amp: 21.013   
x amp: 113.189  | y amp: 76.226   | z amp: 17.009   
x amp: 109.966  | y amp: 79.140   | z amp: 13.706   
x amp: 97.763   | y amp: 62.140   | z amp: 46.948   
x amp: 114.696  | y amp: 68.638   | z amp: 14.027   
x amp: 120.071  | y amp: 57.162   | z amp: 5.753    
x amp: 116.280  | y amp: 61.566   | z amp: 16.979   
x amp: 116.826  | y amp: 74.876   | z amp: 14.794   
x amp: 115.846  | y amp: 70.339   | z amp: 20.850   
x amp: 124.320  | y amp: 73.200   | z amp: 36.936   
x amp: 124.820  | y amp: 68.837   | z amp: 47.197   
x amp: 114.049  | y amp: 74.243   | z amp: 18.088   
x amp: 124.630  | y amp: 61.275   | z amp: 6.173    
x amp: 115.417  | y amp: 72.097   | z amp: 5.040    
x amp: 120.268  | y amp: 68.140   | z amp: 15.226   
x amp: 119.230  | y amp: 64.285   | z amp: 11.578   
x amp: 138.501  | y amp: 57.351   | z amp: 22.090   
x amp: 129.098  | y amp: 85.131   | z amp: 30.320   
x amp: 120.456  | y amp: 68.855   | z amp: 10.292   
x amp: 116.715  | y amp: 66.640   | z amp: 42.541   
x amp: 120.704  | y amp: 71.348   | z amp: 25.069   
x amp: 116.864  | y amp: 61.227   | z amp: 13.242   
x amp: 110.000  | y amp: 62.392   | z amp: 11.438   
x amp: 117.659  | y amp: 77.926   | z amp: 21.975   
x amp: 122.817  | y amp: 64.071   | z amp: 23.226   
x amp: 120.288  | y amp: 73.202   | z amp: 30.247   
x amp: 119.088  | y amp: 80.653   | z amp: 14.854   
x amp: 123.432  | y amp: 65.336   | z amp: 10.244   
x amp: 116.694  | y amp: 64.489   | z amp: 7.394    
x amp: 119.940  | y amp: 67.530   | z amp: 29.663   
x amp: 109.108  | y amp: 72.366   | z amp: 22.764   
x amp: 94.773   | y amp: 58.113   | z amp: 26.381   
x amp: 121.686  | y amp: 65.406   | z amp: 22.368   
x amp: 119.087  | y amp: 68.356   | z amp: 16.975   
x amp: 118.263  | y amp: 70.843   | z amp: 24.591   
x amp: 121.517  | y amp: 71.928   | z amp: 25.061   
x amp: 115.501  | y amp: 74.408   | z amp: 20.164   
x amp: 125.925  | y amp: 67.912   | z amp: 18.945   
x amp: 116.286  | y amp: 56.134   | z amp: 31.367   
x amp: 116.142  | y amp: 67.821   | z amp: 7.384    
x amp: 120.161  | y amp: 76.950   | z amp: 27.022   
x amp: 117.906  | y amp: 75.233   | z amp: 19.810   
x amp: 119.008  | y amp: 67.525   | z amp: 23.915   
x amp: 117.683  | y amp: 67.849   | z amp: 19.104   
x amp: 129.775  | y amp: 63.918   | z amp: 19.753   
x amp: 137.780  | y amp: 74.258   | z amp: 73.036   
x amp: 118.773  | y amp: 62.723   | z amp: 17.338   
x amp: 115.896  | y amp: 68.931   | z amp: 24.901   
x amp: 117.714  | y amp: 69.104   | z amp: 13.725   
x amp: 118.323  | y amp: 65.565   | z amp: 11.016   
x amp: 115.934  | y amp: 57.028   | z amp: 14.322   
x amp: 97.275   | y amp: 78.618   | z amp: 19.892   
x amp: 121.099  | y amp: 67.782   | z amp: 54.464   
x amp: 119.209  | y amp: 66.232   | z amp: 19.902   
x amp: 119.562  | y amp: 71.662   | z amp: 22.373   
x amp: 118.789  | y amp: 56.972   | z amp: 4.726    
x amp: 118.058  | y amp: 64.041   | z amp: 13.402   
x amp: 119.932  | y amp: 70.933   | z amp: 19.952   
x amp: 113.002  | y amp: 68.871   | z amp: 19.516   
x amp: 104.958  | y amp: 53.244   | z amp: 25.680   
x amp: 114.654  | y amp: 76.354   | z amp: 12.242   
x amp: 121.711  | y amp: 61.144   | z amp: 17.872   
x amp: 114.669  | y amp: 64.325   | z amp: 21.840   
x amp: 117.236  | y amp: 67.608   | z amp: 10.958   
x amp: 115.652  | y amp: 69.008   | z amp: 13.260   
x amp: 136.265  | y amp: 51.863   | z amp: 17.881   
x amp: 130.187  | y amp: 76.544   | z amp: 22.360   
x amp: 118.465  | y amp: 73.235   | z amp: 30.654   
x amp: 123.981  | y amp: 69.021   | z amp: 19.333   
x amp: 114.709  | y amp: 65.972   | z amp: 28.725   
x amp: 121.239  | y amp: 73.775   | z amp: 14.702   
x amp: 119.245  | y amp: 60.325   | z amp: 13.264   
x amp: 114.817  | y amp: 77.954   | z amp: 15.226   
x amp: 126.844  | y amp: 72.943   | z amp: 64.730   
x amp: 120.075  | y amp: 70.920   | z amp: 21.098   
x amp: 119.730  | y amp: 108.582  | z amp: 41.284   
x amp: 110.981  | y amp: 71.984   | z amp: 15.609   
x amp: 124.207  | y amp: 70.267   | z amp: 17.164   
x amp: 115.287  | y amp: 65.076   | z amp: 13.584   
x amp: 111.990  | y amp: 75.838   | z amp: 18.605   
x amp: 110.117  | y amp: 73.967   | z amp: 53.754   
x amp: 122.078  | y amp: 63.792   | z amp: 16.602   
x amp: 114.228  | y amp: 64.310   | z amp: 7.134    
x amp: 118.442  | y amp: 72.080   | z amp: 23.128   
x amp: 120.116  | y amp: 70.181   | z amp: 16.243   
x amp: 117.124  | y amp: 68.933   | z amp: 26.068   
x amp: 117.371  | y amp: 71.867   | z amp: 32.849   
x amp: 121.767  | y amp: 70.125   | z amp: 47.934   
x amp: 121.092  | y amp: 69.302   | z amp: 14.833   
x amp: 118.131  | y amp: 67.782   | z amp: 26.493   
x amp: 118.435  | y amp: 79.979   | z amp: 21.784   
x amp: 119.323  | y amp: 76.983   | z amp: 26.412   
x amp: 121.627  | y amp: 68.684   | z amp: 12.648   
x amp: 128.571  | y amp: 68.679   | z amp: 17.874   
x amp: 126.413  | y amp: 68.846   | z amp: 89.916   
x amp: 120.775  | y amp: 55.523   | z amp: 15.076   
x amp: 116.440  | y amp: 67.137   | z amp: 21.585   
x amp: 119.048  | y amp: 73.043   | z amp: 15.419   
x amp: 114.880  | y amp: 69.847   | z amp: 11.723   
x amp: 121.461  | y amp: 67.669   | z amp: 29.802   
x amp: 116.602  | y amp: 88.327   | z amp: 23.271   
x amp: 116.967  | y amp: 60.635   | z amp: 55.297   
x amp: 117.710  | y amp: 65.836   | z amp: 20.718   
x amp: 113.283  | y amp: 66.072   | z amp: 8.084    
x amp: 120.925  | y amp: 69.192   | z amp: 12.251   
x amp: 118.056  | y amp: 64.366   | z amp: 26.341   
x amp: 117.185  | y amp: 77.024   | z amp: 26.341   
x amp: 113.161  | y amp: 70.969   | z amp: 20.090   
x amp: 114.772  | y amp: 53.102   | z amp: 24.458   
x amp: 114.612  | y amp: 68.501   | z amp: 19.133   
x amp: 119.066  | y amp: 55.694   | z amp: 5.945    
x amp: 112.981  | y amp: 72.129   | z amp: 20.118   
x amp: 119.605  | y amp: 72.723   | z amp: 22.188   
x amp: 117.381  | y amp: 68.728   | z amp: 18.358   
x amp: 100.998  | y amp: 63.378   | z amp: 28.118   
x amp: 138.355  | y amp: 83.405   | z amp: 47.264   
x amp: 125.411  | y amp: 63.545   | z amp: 9.988    
x amp: 114.787  | y amp: 64.318   | z amp: 19.660   
x amp: 120.069  | y amp: 71.798   | z amp: 26.145   
x amp: 115.062  | y amp: 67.719   | z amp: 17.553   
x amp: 121.525  | y amp: 71.048   | z amp: 21.156   
x amp: 116.123  | y amp: 74.918   | z amp: 11.218   
x amp: 123.219  | y amp: 85.721   | z amp: 55.700   
x amp: 122.308  | y amp: 68.693   | z amp: 18.191   
x amp: 114.844  | y amp: 67.787   | z amp: 21.237   
x amp: 116.860  | y amp: 59.459   | z amp: 13.696   
x amp: 118.304  | y amp: 64.142   | z amp: 21.446   
x amp: 117.724  | y amp: 70.128   | z amp: 22.070   
x amp: 79.411   | y amp: 70.000   | z amp: 9.102    
x amp: 101.570  | y amp: 78.430   | z amp: 58.377   
x amp: 116.512  | y amp: 71.275   | z amp: 15.740   
x amp: 117.455  | y amp: 76.831   | z amp: 20.850   
x amp: 119.988  | y amp: 68.222   | z amp: 19.126   
x amp: 119.889  | y amp: 67.086   | z amp: 30.125   
x amp: 119.216  | y amp: 68.892   | z amp: 20.044   
x amp: 125.932  | y amp: 53.517   | z amp: 19.734   
x amp: 126.190  | y amp: 58.187   | z amp: 31.612   
x amp: 115.372  | y amp: 70.114   | z amp: 20.867   
x amp: 118.983  | y amp: 71.729   | z amp: 18.128   
x amp: 113.898  | y amp: 67.650   | z amp: 23.219   
x amp: 120.454  | y amp: 80.901   | z amp: 26.021   
x amp: 118.184  | y amp: 70.992   | z amp: 17.627   
x amp: 134.930  | y amp: 64.129   | z amp: 15.396   
x amp: 137.214  | y amp: 54.648   | z amp: 19.938   
