 X: 0.00004280 | Y: 0.00000423 | Z: 0.00001738
 X: 0.00004313 | Y: 0.00000413 | Z: 0.00001749
 X: 0.00004313 | Y: 0.00000455 | Z: 0.00001744
 X: 0.00004317 | Y: 0.00000424 | Z: 0.00001765
 X: 0.00004340 | Y: 0.00000405 | Z: 0.00001760
 X: 0.00004304 | Y: 0.00000427 | Z: 0.00001742
 X: 0.00004303 | Y: 0.00000389 | Z: 0.00001731
 X: 0.00004307 | Y: 0.00000436 | Z: 0.00001742
 X: 0.00004326 | Y: 0.00000408 | Z: 0.00001742
 X: 0.00004336 | Y: 0.00000415 | Z: 0.00001767
 X: 0.00004283 | Y: 0.00000436 | Z: 0.00001740
 X: 0.00004300 | Y: 0.00000430 | Z: 0.00001738
 X: 0.00004309 | Y: 0.00000406 | Z: 0.00001740
 X: 0.00004304 | Y: 0.00000430 | Z: 0.00001731
 X: 0.00004325 | Y: 0.00000399 | Z: 0.00001763
 X: 0.00004319 | Y: 0.00000410 | Z: 0.00001751
 X: 0.00004332 | Y: 0.00000423 | Z: 0.00001771
 X: 0.00004314 | Y: 0.00000435 | Z: 0.00001752
 X: 0.00004306 | Y: 0.00000476 | Z: 0.00001755
 X: 0.00004322 | Y: 0.00000409 | Z: 0.00001760
