 X: 0.19619234 | Y: 0.44385636 | Z: 0.23343912
 X: 0.19273596 | Y: 0.43904752 | Z: 0.22618136
 X: 0.25018513 | Y: 0.57611412 | Z: 0.55386281
 X: 0.18750888 | Y: 0.43217123 | Z: 0.21682194
 X: 0.19128178 | Y: 0.44044328 | Z: 0.22763549
 X: 0.19543228 | Y: 0.43856543 | Z: 0.22894400
 X: 0.19342512 | Y: 0.43067777 | Z: 0.21965028
 X: 0.19347826 | Y: 0.44332498 | Z: 0.23236674
 X: 0.18938512 | Y: 0.42419800 | Z: 0.21124469
 X: 0.19486439 | Y: 0.43344155 | Z: 0.22234398
 X: 0.25665224 | Y: 0.58055061 | Z: 0.71517551
 X: 0.19421540 | Y: 0.43958524 | Z: 0.22957180
 X: 0.19160224 | Y: 0.43617442 | Z: 0.22432932
 X: 0.19228701 | Y: 0.43480244 | Z: 0.22303821
 X: 0.19356570 | Y: 0.43635580 | Z: 0.22654332
 X: 0.19678262 | Y: 0.44599944 | Z: 0.23703586
 X: 0.19384339 | Y: 0.43375903 | Z: 0.22343761
 X: 0.21580845 | Y: 0.49335524 | Z: 0.31065533
 X: 0.18569452 | Y: 0.43436837 | Z: 0.21890102
 X: 0.18393205 | Y: 0.42105192 | Z: 0.20470451
 X: 0.18935326 | Y: 0.43904763 | Z: 0.22472797
 X: 0.18538241 | Y: 0.42437240 | Z: 0.21095818
 X: 0.19033450 | Y: 0.44397676 | Z: 0.23358807
 X: 0.18401700 | Y: 0.43773854 | Z: 0.22094119
 X: 0.18437479 | Y: 0.43510854 | Z: 0.22037035
 X: 0.24029322 | Y: 0.57821345 | Z: 0.79297411
 X: 0.18750742 | Y: 0.43738145 | Z: 0.22369356
 X: 0.19101438 | Y: 0.44339764 | Z: 0.23097043
 X: 0.19190542 | Y: 0.44173983 | Z: 0.23059672
 X: 0.18944001 | Y: 0.43634209 | Z: 0.22408362
 X: 0.18675590 | Y: 0.44716737 | Z: 0.23273145
 X: 0.18737689 | Y: 0.44175154 | Z: 0.22675289
 X: 0.20541023 | Y: 0.49026376 | Z: 0.29731935
 X: 0.19261761 | Y: 0.44584039 | Z: 0.23585841
 X: 0.18022852 | Y: 0.41945475 | Z: 0.20327303
 X: 0.18819699 | Y: 0.44180775 | Z: 0.22833593
 X: 0.19109201 | Y: 0.43848756 | Z: 0.22779746
 X: 0.19214348 | Y: 0.43640566 | Z: 0.22505909
 X: 0.18968648 | Y: 0.43727139 | Z: 0.22547500
 X: 0.24967811 | Y: 0.58455008 | Z: 0.66182220
 X: 0.24513938 | Y: 0.57763374 | Z: 0.77124107
 X: 0.19084202 | Y: 0.44144064 | Z: 0.22870682
 X: 0.18861625 | Y: 0.44228286 | Z: 0.22926718
 X: 0.19038226 | Y: 0.44484216 | Z: 0.23336846
 X: 0.19164826 | Y: 0.44009113 | Z: 0.22842234
 X: 0.20554706 | Y: 0.47556257 | Z: 0.27945587
 X: 0.19837388 | Y: 0.44940725 | Z: 0.24193317
 X: 0.19277065 | Y: 0.43916899 | Z: 0.22926895
 X: 0.19729348 | Y: 0.45622298 | Z: 0.24800628
 X: 0.19045392 | Y: 0.44190732 | Z: 0.22937003
 X: 0.19699040 | Y: 0.44962627 | Z: 0.24085160
 X: 0.19243075 | Y: 0.44153997 | Z: 0.22978106
 X: 0.25206709 | Y: 0.58104199 | Z: 0.71906465
 X: 0.19022514 | Y: 0.44070849 | Z: 0.22818190
 X: 0.19366607 | Y: 0.43339732 | Z: 0.22153501
 X: 0.19003099 | Y: 0.43737143 | Z: 0.22487974
 X: 0.24349298 | Y: 0.57594728 | Z: 0.77852941
 X: 0.19003071 | Y: 0.43811521 | Z: 0.22542249
 X: 0.19006760 | Y: 0.43595278 | Z: 0.22241928
 X: 0.19551483 | Y: 0.45240396 | Z: 0.24662782
 X: 0.19001691 | Y: 0.43017092 | Z: 0.21850070
 X: 0.19167203 | Y: 0.43831018 | Z: 0.22695598
 X: 0.19926222 | Y: 0.45111060 | Z: 0.24492896
 X: 0.19640374 | Y: 0.44330394 | Z: 0.23403595
 X: 0.25152159 | Y: 0.58118182 | Z: 0.74295896
 X: 0.19383042 | Y: 0.43949282 | Z: 0.22944619
 X: 0.18937257 | Y: 0.43051577 | Z: 0.21694654
 X: 0.19579475 | Y: 0.44912651 | Z: 0.24096528
 X: 0.18930042 | Y: 0.43360290 | Z: 0.22068182
 X: 0.19129914 | Y: 0.43293211 | Z: 0.22025821
 X: 0.19331458 | Y: 0.43516403 | Z: 0.22369061
 X: 0.18013865 | Y: 0.40944591 | Z: 0.19339314
 X: 0.19278201 | Y: 0.43922618 | Z: 0.22883123
 X: 0.19835481 | Y: 0.44602504 | Z: 0.23920865
 X: 0.19384758 | Y: 0.44155428 | Z: 0.23036319
 X: 0.19179188 | Y: 0.43608674 | Z: 0.22551748
 X: 0.19416751 | Y: 0.43380511 | Z: 0.22416367
 X: 0.19593146 | Y: 0.43998682 | Z: 0.22995596
 X: 0.19161059 | Y: 0.43525186 | Z: 0.22338648
 X: 0.25301099 | Y: 0.57836705 | Z: 0.77643323
 X: 0.19658810 | Y: 0.43876505 | Z: 0.22899936
 X: 0.19447879 | Y: 0.43643785 | Z: 0.22777858
 X: 0.19619124 | Y: 0.43656737 | Z: 0.22777808
 X: 0.18807946 | Y: 0.43213397 | Z: 0.21749270
 X: 0.19059919 | Y: 0.43529812 | Z: 0.22393702
