x amp: 4.589    | y amp: 11.457   | z amp: 1.234    
x amp: 2.323    | y amp: 2.390    | z amp: 3.589    
x amp: 2.997    | y amp: 3.240    | z amp: 14.764   
x amp: 0.312    | y amp: 13.952   | z amp: 7.394    
x amp: 5.467    | y amp: 5.500    | z amp: 5.720    
x amp: 1.748    | y amp: 1.953    | z amp: 11.467   
x amp: 1.536    | y amp: 17.302   | z amp: 0.953    
x amp: 5.873    | y amp: 4.429    | z amp: 8.190    
x amp: 1.773    | y amp: 2.111    | z amp: 4.112    
x amp: 1.744    | y amp: 10.619   | z amp: 11.503   
x amp: 9.092    | y amp: 6.800    | z amp: 4.435    
x amp: 0.965    | y amp: 0.576    | z amp: 5.644    
x amp: 0.694    | y amp: 6.603    | z amp: 12.676   
x amp: 7.317    | y amp: 8.247    | z amp: 8.513    
x amp: 3.662    | y amp: 2.381    | z amp: 3.121    
x amp: 0.529    | y amp: 4.956    | z amp: 18.346   
x amp: 7.926    | y amp: 5.944    | z amp: 3.381    
x amp: 1.310    | y amp: 4.540    | z amp: 3.531    
x amp: 3.236    | y amp: 1.686    | z amp: 6.919    
x amp: 1.938    | y amp: 9.631    | z amp: 4.240    
x amp: 1.816    | y amp: 1.516    | z amp: 2.843    
x amp: 3.025    | y amp: 2.069    | z amp: 6.201    
x amp: 0.342    | y amp: 10.397   | z amp: 8.147    
x amp: 6.220    | y amp: 3.295    | z amp: 3.280    
x amp: 3.255    | y amp: 3.027    | z amp: 15.127   
x amp: 5.857    | y amp: 10.903   | z amp: 2.370    
x amp: 4.552    | y amp: 5.115    | z amp: 7.551    
x amp: 4.395    | y amp: 1.319    | z amp: 30.243   
x amp: 1.957    | y amp: 13.114   | z amp: 3.929    
x amp: 1.737    | y amp: 2.171    | z amp: 7.062    
x amp: 1.661    | y amp: 2.912    | z amp: 33.381   
x amp: 2.748    | y amp: 15.432   | z amp: 3.152    
x amp: 5.304    | y amp: 3.966    | z amp: 16.474   
x amp: 3.098    | y amp: 1.251    | z amp: 4.306    
x amp: 3.120    | y amp: 11.399   | z amp: 9.293    
x amp: 6.599    | y amp: 8.032    | z amp: 8.327    
x amp: 2.418    | y amp: 1.841    | z amp: 1.673    
x amp: 2.041    | y amp: 11.470   | z amp: 12.092   
x amp: 7.970    | y amp: 10.001   | z amp: 2.149    
x amp: 1.447    | y amp: 0.091    | z amp: 2.035    
x amp: 1.962    | y amp: 9.097    | z amp: 12.115   
x amp: 8.436    | y amp: 4.828    | z amp: 4.739    
x amp: 2.063    | y amp: 5.289    | z amp: 1.676    
x amp: 1.901    | y amp: 3.590    | z amp: 13.704   
x amp: 8.605    | y amp: 10.268   | z amp: 3.409    
x amp: 1.141    | y amp: 2.023    | z amp: 3.073    
x amp: 2.191    | y amp: 1.313    | z amp: 8.998    
x amp: 5.330    | y amp: 4.514    | z amp: 5.930    
x amp: 5.274    | y amp: 4.971    | z amp: 3.529    
x amp: 5.306    | y amp: 0.854    | z amp: 9.056    
x amp: 4.829    | y amp: 7.611    | z amp: 4.918    
x amp: 3.789    | y amp: 3.837    | z amp: 8.509    
x amp: 3.939    | y amp: 2.582    | z amp: 11.697   
x amp: 3.077    | y amp: 10.282   | z amp: 9.416    
x amp: 3.913    | y amp: 2.337    | z amp: 3.734    
x amp: 1.219    | y amp: 4.276    | z amp: 20.705   
x amp: 0.807    | y amp: 12.554   | z amp: 1.651    
x amp: 1.047    | y amp: 5.045    | z amp: 14.781   
x amp: 3.063    | y amp: 2.133    | z amp: 29.410   
x amp: 1.611    | y amp: 11.664   | z amp: 2.465    
x amp: 2.916    | y amp: 1.876    | z amp: 4.822    
x amp: 2.937    | y amp: 1.206    | z amp: 19.132   
 amp: 1.458    | y amp: 4.988    | z amp: 7.308    
x amp: 2.338    | y amp: 12.367   | z amp: 9.449    
x amp: 3.722    | y amp: 4.377    | z amp: 5.994    
x amp: 0.490    | y amp: 3.372    | z amp: 6.355    
x amp: 1.212    | y amp: 4.779    | z amp: 5.653    
x amp: 0.861    | y amp: 2.263    | z amp: 4.607    
x amp: 2.755    | y amp: 2.856    | z amp: 14.960   
x amp: 3.953    | y amp: 15.461   | z amp: 6.811    
x amp: 3.854    | y amp: 6.080    | z amp: 3.980    
x amp: 4.549    | y amp: 0.789    | z amp: 20.564   
x amp: 4.202    | y amp: 14.488   | z amp: 4.983    
x amp: 1.944    | y amp: 3.470    | z amp: 7.535    
x amp: 3.353    | y amp: 2.021    | z amp: 17.677   
x amp: 2.892    | y amp: 11.898   | z amp: 8.630    
x amp: 2.134    | y amp: 5.263    | z amp: 11.656   
x amp: 1.672    | y amp: 2.982    | z amp: 5.490    
x amp: 1.734    | y amp: 12.610   | z amp: 15.975   
x amp: 6.297    | y amp: 4.514    | z amp: 7.927    
x amp: 2.891    | y amp: 4.260    | z amp: 9.252    
x amp: 0.146    | y amp: 11.596   | z amp: 11.078   
