DATA,-163.477432,153.867371,-158.352417,-0.144412,0.016674,-0.004526,0.989367
DATA,-162.053528,155.232361,-158.362778,-0.144403,0.016645,-0.004526,0.989369
DATA,-162.342896,152.782211,-156.951675,-0.144348,0.016599,-0.004576,0.989377
DATA,-161.887405,154.909805,-157.434174,-0.144396,0.016706,-0.004577,0.989368
DATA,-163.664948,156.562347,-158.431351,-0.144361,0.016615,-0.004761,0.989374
DATA,-163.540894,155.170456,-158.110428,-0.144251,0.016594,-0.004808,0.989390
DATA,-163.595825,153.339264,-157.484894,-0.144196,0.016627,-0.004920,0.989397
DATA,-163.559616,151.702499,-157.563568,-0.144172,0.016669,-0.004924,0.989400
DATA,-163.376144,153.864899,-158.790100,-0.144157,0.016782,-0.004935,0.989400
DATA,-163.677689,156.680420,-157.657745,-0.144188,0.016729,-0.004787,0.989397
DATA,-162.219345,154.224930,-156.648193,-0.144139,0.016729,-0.004643,0.989405
DATA,-163.346375,153.719879,-156.357224,-0.144092,0.016731,-0.004618,0.989412
DATA,-162.698593,155.519730,-158.052917,-0.144224,0.016805,-0.004412,0.989393
DATA,-163.416504,155.361954,-157.751419,-0.144168,0.016831,-0.004528,0.989400
DATA,-163.947632,153.145630,-156.944702,-0.144194,0.016900,-0.004440,0.989395
DATA,-162.924927,155.711472,-158.294708,-0.144296,0.016879,-0.004318,0.989381
DATA,-164.381317,156.902679,-159.071381,-0.144328,0.016815,-0.004375,0.989377
DATA,-162.393600,155.399109,-157.917770,-0.144329,0.016776,-0.004370,0.989378
DATA,-162.274063,155.974884,-156.597580,-0.144365,0.016957,-0.004404,0.989369
DATA,-164.328705,153.822220,-156.927887,-0.144392,0.017007,-0.004371,0.989365
DATA,-162.796738,153.736542,-156.546677,-0.144465,0.016971,-0.004178,0.989356
DATA,-163.393799,154.803772,-158.667557,-0.144443,0.016911,-0.004201,0.989360
DATA,-161.899109,155.176361,-157.813507,-0.144519,0.016927,-0.004098,0.989349
DATA,-164.271667,153.826462,-157.867020,-0.144572,0.016903,-0.004103,0.989341
DATA,-163.702316,155.939514,-157.987595,-0.144589,0.016931,-0.004239,0.989338
DATA,-161.690002,152.193253,-157.645706,-0.144517,0.017145,-0.004538,0.989343
DATA,-162.860397,155.350632,-157.880035,-0.144501,0.017064,-0.004665,0.989347
DATA,-162.160568,153.614777,-156.429901,-0.144433,0.017047,-0.004421,0.989358
DATA,-161.711853,155.046844,-157.163132,-0.144412,0.016784,-0.003433,0.989369
DATA,-162.491943,155.525757,-157.685257,-0.144424,0.017842,-0.003310,0.989350
DATA,-162.528015,155.529572,-157.466034,-0.144418,0.017210,-0.003741,0.989360
DATA,-165.963013,154.621613,-158.035172,-0.144384,0.016614,-0.003856,0.989375
DATA,-162.408844,154.862869,-156.225647,-0.144365,0.017224,-0.003635,0.989368
DATA,-160.372894,155.554169,-158.386642,-0.144258,0.017280,-0.003870,0.989382
DATA,-163.178314,154.189163,-158.561417,-0.144192,0.016942,-0.004001,0.989397
DATA,-165.176743,154.358337,-157.162369,-0.144168,0.016940,-0.003864,0.989401
DATA,-162.312241,156.269531,-158.001816,-0.144166,0.017057,-0.003788,0.989399
DATA,-162.324249,156.860718,-157.906464,-0.144248,0.016883,-0.003872,0.989390
DATA,-161.139008,153.970062,-157.507645,-0.144304,0.016918,-0.003902,0.989381
DATA,-163.583115,155.556534,-158.066879,-0.144348,0.017014,-0.004065,0.989372
DATA,-163.258942,155.727234,-158.048950,-0.144386,0.016949,-0.004106,0.989368
DATA,-162.268265,155.408356,-157.280243,-0.144466,0.016879,-0.004116,0.989357
DATA,-162.464233,155.103409,-158.346802,-0.144503,0.016927,-0.004051,0.989351
DATA,-163.014664,157.029465,-158.178650,-0.144497,0.016995,-0.004148,0.989350
DATA,-162.616882,156.953140,-157.700592,-0.144364,0.016866,-0.004365,0.989371
DATA,-162.123337,155.489120,-158.130203,-0.144356,0.016715,-0.004546,0.989374
DATA,-161.854996,154.400162,-157.060760,-0.144450,0.016688,-0.004526,0.989361
DATA,-163.388596,154.392929,-157.491058,-0.144358,0.016791,-0.004587,0.989372
DATA,-162.626282,154.052612,-156.921555,-0.144389,0.016854,-0.004557,0.989367
DATA,-162.273651,155.493927,-157.063828,-0.144419,0.016894,-0.004598,0.989362
DATA,-162.734909,156.049423,-156.772980,-0.144511,0.016744,-0.004537,0.989351
DATA,-163.278885,155.776215,-157.361145,-0.144563,0.016829,-0.004387,0.989343
DATA,-162.576523,153.679031,-157.708496,-0.144632,0.018201,-0.002449,0.989315
DATA,-162.904022,154.419739,-157.257477,-0.145098,0.016128,-0.001502,0.989285
DATA,-162.824722,156.254883,-157.112244,-0.145258,0.015368,-0.004097,0.989266
DATA,-162.913422,155.315872,-157.537384,-0.144940,0.016114,-0.005227,0.989295
DATA,-163.083267,153.469543,-156.766937,-0.144641,0.015553,-0.004838,0.989350
DATA,-163.488495,155.928375,-158.563934,-0.144687,0.015558,-0.005010,0.989343
DATA,-162.475159,154.076996,-156.810455,-0.144895,0.016380,-0.004858,0.989300
DATA,-164.557831,153.702927,-157.366745,-0.144778,0.016294,-0.005538,0.989315
DATA,-163.687057,152.496552,-157.566345,-0.144769,0.016098,-0.006020,0.989316
DATA,-162.709290,154.656525,-157.174896,-0.144754,0.016327,-0.005851,0.989316
DATA,-163.023773,156.999725,-159.197266,-0.144744,0.016020,-0.005072,0.989327
DATA,-161.676376,156.410736,-157.241547,-0.144701,0.014119,-0.005342,0.989360
