DATA,-152.574860,154.407822,-158.564636,0.013097,-0.637992,0.769429,0.027809,0.326201,-0.005581,0.010328,-0.945228
DATA,-152.859421,154.610397,-156.518555,0.012526,-0.638057,0.769477,0.025110,0.325940,-0.005379,0.010750,-0.945314
DATA,-153.772705,154.922806,-157.007172,0.012996,-0.637988,0.769437,0.027721,0.325883,-0.005521,0.010857,-0.945332
DATA,-151.954926,153.642288,-156.422104,0.014391,-0.637996,0.769398,0.027940,0.325700,-0.005451,0.011171,-0.945391
DATA,-152.037827,155.082138,-156.837082,0.012161,-0.638015,0.769481,0.026237,0.325818,-0.005331,0.010781,-0.945356
DATA,-153.497269,154.990631,-158.724869,0.013365,-0.637989,0.769413,0.028195,0.325770,-0.005445,0.010847,-0.945371
DATA,-152.141953,155.338425,-157.808823,0.011384,-0.638034,0.769494,0.025733,0.325718,-0.005632,0.010821,-0.945388
DATA,-152.765427,155.163788,-156.400650,0.012134,-0.637975,0.769428,0.028657,0.325721,-0.005381,0.010888,-0.945388
DATA,-154.284515,155.252594,-157.170029,0.010699,-0.637990,0.769480,0.027459,0.325682,-0.005340,0.011077,-0.945399
DATA,-153.674866,152.840485,-156.979507,0.013276,-0.638021,0.769403,0.027786,0.325883,-0.005651,0.010848,-0.945331
DATA,-153.064835,154.407425,-156.866821,0.012059,-0.638051,0.769456,0.026123,0.325753,-0.005574,0.011141,-0.945373
DATA,-150.703537,155.191406,-157.797409,0.009432,-0.637975,0.769507,0.027521,0.325742,-0.005506,0.011049,-0.945378
DATA,-152.618164,154.599747,-156.974838,0.012300,-0.638023,0.769437,0.027255,0.325810,-0.005664,0.010914,-0.945355
DATA,-151.271606,154.373581,-155.664307,0.013365,-0.638036,0.769424,0.026807,0.325788,-0.005374,0.010759,-0.945366
DATA,-151.266495,155.910751,-156.839096,0.011591,-0.638023,0.769496,0.025827,0.325777,-0.005449,0.010690,-0.945371
DATA,-153.926636,155.181549,-158.388809,0.013382,-0.638004,0.769435,0.027228,0.325827,-0.005536,0.010693,-0.945353
DATA,-151.315262,154.652206,-157.184647,0.011310,-0.637987,0.769501,0.026694,0.325866,-0.005407,0.010661,-0.945341
DATA,-151.939163,155.578537,-156.769196,0.013815,-0.638040,0.769439,0.026036,0.325911,-0.005473,0.010686,-0.945324
DATA,-152.812134,156.754822,-158.189835,0.013241,-0.637966,0.769451,0.027738,0.325908,-0.005286,0.010592,-0.945328
DATA,-152.299515,153.352295,-156.464447,0.014503,-0.638076,0.769430,0.025021,0.325956,-0.005903,0.010283,-0.945311
DATA,-153.566574,154.209061,-158.483704,0.013085,-0.637960,0.769414,0.028964,0.325999,-0.006495,0.010202,-0.945293
DATA,-150.997879,154.909164,-157.484451,0.010985,-0.637927,0.769491,0.028502,0.326250,-0.006870,0.009937,-0.945206
DATA,-152.414261,155.403015,-156.503815,0.012816,-0.637980,0.769444,0.027818,0.326481,-0.006929,0.009785,-0.945128
DATA,-153.023682,154.557083,-158.336182,0.012723,-0.637964,0.769428,0.028632,0.326474,-0.007054,0.010018,-0.945127
DATA,-152.027603,153.994278,-157.204895,0.010672,-0.638007,0.769513,0.026132,0.326464,-0.006740,0.010156,-0.945131
DATA,-153.476074,154.048767,-156.251663,0.014276,-0.638049,0.769411,0.026394,0.326351,-0.006349,0.010405,-0.945170
DATA,-152.035248,155.270096,-157.048553,0.012686,-0.637903,0.769409,0.030465,0.326449,-0.005877,0.010215,-0.945141
DATA,-152.595566,154.048706,-157.014404,0.011606,-0.637935,0.769453,0.029088,0.326589,-0.005779,0.009986,-0.945096
DATA,-152.063599,154.147263,-157.746750,0.012719,-0.638090,0.769481,0.024053,0.326686,-0.005719,0.009912,-0.945064
DATA,-152.278351,155.387436,-156.979401,0.010211,-0.637905,0.769458,0.030119,0.326668,-0.005437,0.010004,-0.945070
DATA,-152.676514,155.023270,-157.152115,0.011164,-0.638063,0.769494,0.025083,0.326732,-0.005573,0.009903,-0.945049
DATA,-154.209061,154.055725,-156.497757,0.011235,-0.637975,0.769431,0.028942,0.326854,-0.005491,0.009716,-0.945009
DATA,-153.561447,153.622925,-155.560471,0.014077,-0.638056,0.769359,0.027801,0.326937,-0.005370,0.009683,-0.944981
DATA,-152.276825,153.925766,-157.942001,0.011923,-0.638041,0.769419,0.027491,0.327019,-0.005510,0.009606,-0.944953
DATA,-152.249359,153.758270,-158.545166,0.011575,-0.638113,0.769434,0.025489,0.326987,-0.005823,0.009974,-0.944958
DATA,-153.214676,154.537811,-156.966522,0.012412,-0.638006,0.769347,0.029984,0.326931,-0.005480,0.010155,-0.944978
DATA,-151.426010,154.620392,-156.956772,0.012359,-0.638073,0.769382,0.027608,0.326824,-0.005168,0.010413,-0.945014
DATA,-152.966492,154.998611,-158.086716,0.011185,-0.638047,0.769392,0.028411,0.326752,-0.005427,0.010563,-0.945036
DATA,-154.103088,152.961212,-157.042587,0.012121,-0.638110,0.769404,0.026220,0.326755,-0.005743,0.010455,-0.945034
DATA,-152.200256,154.496323,-157.024307,0.011423,-0.638094,0.769403,0.026916,0.326885,-0.005581,0.010492,-0.944989
DATA,-153.128586,154.160385,-157.927261,0.012195,-0.638127,0.769383,0.026390,0.326873,-0.005111,0.010708,-0.944994
DATA,-154.201447,153.226166,-157.729813,0.012664,-0.638047,0.769341,0.029154,0.326803,-0.004841,0.010779,-0.945019
